10001,11
10001,7
10002,5
10002,11
10002,8
10003,3
10003,12
10004,7
10004,11
10005,3
10005,13
10006,1
10006,11
10007,7
10007,2
10007,11
10007,12
10008,8
10008,1
10008,13
10008,11
10009,3
10009,11
10009,7
10010,3
10010,11
10011,3
10011,12
10012,1
10012,13
10013,5
10013,2
10013,11
10014,3
10014,11
34001,14
34002,15
34003,14
34004,14
34005,14
34006,14
34007,14
34008,14
34009,15
34010,15
34011,15
34012,15
34013,15
34014,15
34015,14
34016,14
34017,15
34018,15
34019,15
34020,15
34021,15
34022,15
34023,15
34024,15
34025,15
34026,15
34027,15
34028,14
34029,14
34030,15
34031,15
34032,15
34033,15
34034,14
34035,14
34038,15
34039,15
34040,15
34041,15
34042,15
34043,15
34045,14
34046,14
34050,14
34051,14
34052,14
34053,15
34054,15
34055,15
34056,14
34057,15
34058,15
34059,14
34060,14
34062,15
34063,15
35001,10
35002,10
36001,7
36002,7
36005,7
36006,2
36007,2
36008,1
36009,1
36010,2
36011,1
36012,3
36013,3
36014,1
36015,2
36016,6
36017,4
36018,7
36019,3
36020,3
36021,3
36022,3
36023,3
36024,3
36025,7
36026,7
36027,7
36028,4
36029,13
36030,13
36031,11
36032,11
36033,11
36034,11
36035,11
36036,11
36037,3
36038,3
